candidate_id,event_time_utc,hkt_date,slug,direction,sample_match,seconds_since_start,entry_price,official_outcome,pnl,sample_external_book_imbalance_median,signed_book_from_sample,order_aligned_book_imbalance,book_diff_order_minus_sample,source_available_count,source_aligned_count,source_over_0_40_count,source_signed_min,source_signed_median,source_signed_max,depth_age_max_ms,depth_age_median_ms,depth_latency_median_ms,pm_direction_book_age_ms,pm_direction_best_ask,pm_direction_depth_lte_0_70,external_micro_source_errors_json,binance_spot_depth_imbalance_5,binance_perp_depth_imbalance_5,okx_swap_depth_imbalance_5,bybit_perp_depth_imbalance_5,binance_spot_depth_age_ms,binance_perp_depth_age_ms,okx_swap_depth_age_ms,bybit_perp_depth_age_ms
broad_spot_consensus_thr20_15-120_cap0.70_cvd30k_book0.40_cl20,2026-05-24T21:56:34.376134+00:00,2026-05-25,btc-updown-5m-1779659700,UP,YES,94.376,0.7,DOWN,-100.0,0.86756,0.86756,0.86756,0.0,4,4,4,0.681956,0.8675605,0.992366,1512.0,1512.0,238.25850000000003,1.0,0.7,223.041,{},0.842759,0.681956,0.892362,0.992366,1512,1512,1512,1512
broad_spot_consensus_thr20_15-120_cap0.70_cvd30k_book0.40_cl20,2026-05-24T22:05:16.852910+00:00,2026-05-25,btc-updown-5m-1779660300,UP,YES,16.852,0.68,UP,43.74689506706653,0.434543,0.434543,0.434543,0.0,4,3,3,-0.113315,0.434543,0.83484,647.0,647.0,229.1055,0.0,0.68,752.5697,{},0.83484,-0.113315,0.452322,0.416764,647,647,647,647
broad_spot_consensus_thr20_15-120_cap0.70_cvd30k_book0.40_cl20,2026-05-24T22:10:29.138600+00:00,2026-05-25,btc-updown-5m-1779660600,UP,YES,29.138,0.47,UP,104.94524682785749,0.50975,0.50975,0.50975,0.0,4,4,3,0.07136,0.5097505,0.703548,528.0,528.0,219.665,0.0,0.47,3821.7054,{},0.703548,0.48473,0.534771,0.07136,528,528,528,528
broad_spot_consensus_thr20_15-120_cap0.70_cvd30k_book0.40_cl20,2026-05-24T22:45:37.907690+00:00,2026-05-25,btc-updown-5m-1779662700,UP,YES,37.907,0.69,UP,41.76337764289465,0.411358,0.411358,0.411358,0.0,4,3,2,-0.14903,0.411358,0.983654,696.0,696.0,223.922,0.0,0.69,150.6529,{},0.983654,0.239614,-0.14903,0.583102,696,696,696,696
broad_spot_consensus_thr20_15-120_cap0.70_cvd30k_book0.40_cl20,2026-05-24T23:10:40.030083+00:00,2026-05-25,btc-updown-5m-1779664200,UP,YES,40.03,0.64,UP,52.30232376793512,0.460671,0.460671,0.460671,0.0,4,3,2,-0.329281,0.460671,0.839192,1715.0,1715.0,227.1455,201.0,0.64,1192.6094,{},0.786291,-0.329281,0.135051,0.839192,1715,1715,1715,1715
broad_spot_consensus_thr20_15-120_cap0.70_cvd30k_book0.40_cl20,2026-05-24T23:36:12.769618+00:00,2026-05-25,btc-updown-5m-1779665700,UP,YES,72.769,0.63,UP,54.61131334270897,0.486221,0.486221,0.486221,0.0,4,3,2,-0.653068,0.4862215,0.806854,1039.0,1039.0,215.7955,0.0,0.63,963.1395,{},-0.653068,0.806854,0.369173,0.60327,1039,1039,1039,1039
broad_spot_consensus_thr20_15-120_cap0.70_cvd30k_book0.40_cl20,2026-05-24T23:41:31.862167+00:00,2026-05-25,btc-updown-5m-1779666000,UP,YES,91.862,0.52,UP,85.88355659187704,0.551921,0.551921,0.551921,0.0,4,4,3,0.175926,0.551921,0.627874,1035.0,1035.0,223.3995,0.0,0.52,3655.32,{},0.521259,0.627874,0.582583,0.175926,1035,1035,1035,1035
broad_spot_consensus_thr20_15-120_cap0.70_cvd30k_book0.40_cl20,2026-05-25T00:05:58.333032+00:00,2026-05-25,btc-updown-5m-1779667500,UP,YES,58.333,0.67,UP,45.789766491446784,0.65139,0.65139,0.65139,0.0,4,3,2,-0.145649,0.6513905,0.985566,1307.0,1307.0,233.121,1.0,0.67,978.7036,{},0.34577,0.957011,0.985566,-0.145649,1307,1307,1307,1307
broad_spot_consensus_thr20_15-120_cap0.70_cvd30k_book0.40_cl20,2026-05-25T01:05:31.785709+00:00,2026-05-25,btc-updown-5m-1779671100,UP,YES,31.785,0.69,UP,41.76337764289465,0.914729,0.914729,0.914729,0.0,4,4,4,0.707631,0.9147289999999999,0.963968,1231.0,1231.0,243.885,0.0,0.69,129.0084,{},0.953301,0.707631,0.963968,0.876157,1231,1231,1231,1231
broad_spot_consensus_thr20_15-120_cap0.70_cvd30k_book0.40_cl20,2026-05-25T02:10:23.170313+00:00,2026-05-25,btc-updown-5m-1779675000,UP,YES,23.17,0.56,UP,73.08800070896842,0.791597,0.791597,0.791597,0.0,4,4,3,0.23038,0.791597,0.999031,555.0,555.0,223.032,0.0,0.56,1526.3204,{},0.23038,0.681665,0.999031,0.901529,555,555,555,555
