strategy_id,event_time_utc,event_time_hkt,hkt_date,slug,direction,direction_reason,seconds_since_start,price_to_beat_observed_second,entry_price,order_cash_usdc,expected_shares,spot_consensus_delta,binance_delta,coinbase_delta,aligned_cvd_15s,aligned_book_imbalance,aligned_chainlink_delta,official_outcome,pnl
aws-spot-consensus-01,2026-05-24T21:56:34.376134+00:00,2026-05-25T05:56:34.376134+08:00,2026-05-25,btc-updown-5m-1779659700,UP,spot_consensus_up,94.376,10.73,0.7,100.0,139.83667076854235,72.641242,117.136242,13.246242,41610.95952,0.86756,21.280839,DOWN,-100.0
aws-spot-consensus-01,2026-05-24T22:05:16.852910+00:00,2026-05-25T06:05:16.852910+08:00,2026-05-25,btc-updown-5m-1779660300,UP,spot_consensus_up,16.852,10.769,0.68,100.0,143.74689506706653,75.714714,125.554714,27.564714,94778.79547,0.434543,22.170388,UP,43.74689506706653
aws-spot-consensus-01,2026-05-24T22:10:29.138600+00:00,2026-05-25T06:10:29.138600+08:00,2026-05-25,btc-updown-5m-1779660600,UP,spot_consensus_up,29.138,10.971,0.47,100.0,204.9452468278575,70.025177,119.185177,16.295177,89619.953214,0.50975,21.186211,UP,104.94524682785749
aws-spot-consensus-01,2026-05-24T22:45:37.907690+00:00,2026-05-25T06:45:37.907690+08:00,2026-05-25,btc-updown-5m-1779662700,UP,spot_consensus_up,37.907,10.498,0.69,100.0,141.76337764289465,73.217505,119.942505,26.492505,292176.05077,0.411358,23.072909,UP,41.76337764289465
aws-spot-consensus-01,2026-05-24T23:10:40.030083+00:00,2026-05-25T07:10:40.030083+08:00,2026-05-25,btc-updown-5m-1779664200,UP,spot_consensus_up,40.03,10.645,0.64,100.0,152.30232376793512,65.40691,112.04691,18.73691,265647.331196,0.460671,20.082052,UP,52.30232376793512
aws-spot-consensus-01,2026-05-24T23:36:12.769618+00:00,2026-05-25T07:36:12.769618+08:00,2026-05-25,btc-updown-5m-1779665700,UP,spot_consensus_up,72.769,11.214,0.63,100.0,154.61131334270897,85.51615,125.77615,24.87615,38742.120147,0.486221,27.818355,UP,54.61131334270897
aws-spot-consensus-01,2026-05-24T23:41:31.862167+00:00,2026-05-25T07:41:31.862167+08:00,2026-05-25,btc-updown-5m-1779666000,UP,spot_consensus_up,91.862,11.182,0.52,100.0,185.88355659187704,72.222804,115.217804,26.207804,594337.923604,0.551921,24.148439,UP,85.88355659187704
aws-spot-consensus-01,2026-05-25T00:05:58.333032+00:00,2026-05-25T08:05:58.333032+08:00,2026-05-25,btc-updown-5m-1779667500,UP,spot_consensus_up,58.333,10.898,0.67,100.0,145.78976649144678,67.395895,110.990895,23.800895,73024.822996,0.65139,20.526456,UP,45.789766491446784
aws-spot-consensus-01,2026-05-25T01:05:31.785709+00:00,2026-05-25T09:05:31.785709+08:00,2026-05-25,btc-updown-5m-1779671100,UP,spot_consensus_up,31.785,10.497,0.69,100.0,141.76337764289465,72.06349,117.57849,24.06849,406936.32028,0.914729,20.35289,UP,41.76337764289465
aws-spot-consensus-01,2026-05-25T02:10:23.170313+00:00,2026-05-25T10:10:23.170313+08:00,2026-05-25,btc-updown-5m-1779675000,UP,spot_consensus_up,23.17,11.095,0.56,100.0,173.08800070896842,71.471655,113.256655,29.686655,375463.092992,0.791597,36.605965,UP,73.08800070896842
